FPGA idle power [mW]:,3511.1

Program energy [mJ]:,2.70

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,5.0
20000,0.001,28.0
40000,0.002,39.5
60000,0.003,35.2
80000,0.004,32.3
100000,0.005,42.4
120000,0.006,40.0
140000,0.007,45.3
160000,0.008,51.1
180000,0.009,52.5
200000,0.010,46.7
220000,0.011,39.5
240000,0.012,51.1
260000,0.013,49.6
280000,0.014,46.7
300000,0.015,40.0
320000,0.016,46.7
340000,0.017,52.5
360000,0.018,52.5
380000,0.019,41.0
400000,0.020,49.6
420000,0.021,49.6
440000,0.022,46.7
460000,0.023,43.9
480000,0.024,33.8
500000,0.025,41.0
520000,0.026,39.5
540000,0.027,35.2
560000,0.028,25.2
580000,0.029,35.2
600000,0.030,36.7
620000,0.031,35.2
640000,0.032,38.1
660000,0.033,26.0
680000,0.034,38.1
700000,0.035,41.0
720000,0.036,36.7
740000,0.037,32.3
760000,0.038,32.3
780000,0.039,42.4
800000,0.040,30.9
820000,0.041,26.6
840000,0.042,30.7
860000,0.043,32.3
880000,0.044,22.3
900000,0.045,20.8
920000,0.046,26.6
940000,0.047,28.0
960000,0.048,25.2
980000,0.049,22.3
1000000,0.050,19.4
1020000,0.051,21.4
1040000,0.052,15.1
1060000,0.053,26.6
1080000,0.054,12.2
1100000,0.055,9.3
1120000,0.056,18.0
1140000,0.057,15.1
1160000,0.058,16.5
1180000,0.059,16.5
1200000,0.060,15.2
1220000,0.061,19.4
1240000,0.062,12.2
1260000,0.063,18.0
1280000,0.064,19.4
1300000,0.065,10.8
1320000,0.066,19.4
1340000,0.067,19.4
1360000,0.068,20.8
1380000,0.069,13.6
1400000,0.070,15.1
1420000,0.071,12.2
1440000,0.072,22.3
1460000,0.073,16.5
1480000,0.074,16.5
1500000,0.075,16.5
1520000,0.076,13.6
1540000,0.077,18.0
1560000,0.078,19.8
1580000,0.079,16.5
1600000,0.080,22.3
1620000,0.081,19.4
1640000,0.082,10.8
1660000,0.083,12.2
1680000,0.084,18.0
1700000,0.085,9.3
1720000,0.086,22.3
1740000,0.087,18.3
1760000,0.088,15.1
1780000,0.089,7.9
1800000,0.090,22.3
1820000,0.091,18.0
1840000,0.092,18.0
1860000,0.093,13.6
1880000,0.094,23.7
1900000,0.095,15.1
1920000,0.096,12.1
1940000,0.097,15.1
1960000,0.098,22.3
1980000,0.099,13.6
